source_id,external_id,external_name,external_name_norm,registry_status,source_url,match_method,evidence_strength,rut,entity_id,error
donatarias_21440,1325,INSTITUTO CHILENO DE INTELIGENCIA ARTIFICIAL Y ROBOTICA,INSTITUTO CHILENO DE INTELIGENCIA ARTIFICIAL Y ROBOTICA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1325,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65195115-1,ENT-RUT-65195115-1,
donatarias_21440,1324,FUNDACIONES DEL MUNDO NUEVO,FUNDACIONES DEL MUNDO NUEVO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1324,RUT_DIRECT,STRONG_LEGAL_REGISTRY,71943800-8,ENT-RUT-71943800-8,
donatarias_21440,1323,FUNDACIÓN TRAMA RELACIONAL,FUNDACION TRAMA RELACIONAL,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1323,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65278728-2,ENT-RUT-65278728-2,
donatarias_21440,1322,FUNDACION TE CUIDO,FUNDACION TE CUIDO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1322,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65209138-5,ENT-RUT-65209138-5,
donatarias_21440,1321,FUNDACIÓN SOMOS PARTE,FUNDACION SOMOS PARTE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1321,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65175138-1,ENT-RUT-65175138-1,
donatarias_21440,1320,FUNDACIÓN SABORES DEL FUTURO,FUNDACION SABORES DEL FUTURO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1320,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65256675-8,ENT-RUT-65256675-8,
donatarias_21440,1319,FUNDACION QUEBRADA DEL ALTO,FUNDACION QUEBRADA DEL ALTO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1319,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1318,FUNDACIÓN PARA PROMOCIÓN DEL CONOCIMIENTO  Y PROTECCIÓN DE LOS CICLOS MENSTRUALES INARA,FUNDACION PARA PROMOCION DEL CONOCIMIENTO Y PROTECCION DE LOS CICLOS MENSTRUALES INARA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1318,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65140064-3,ENT-RUT-65140064-3,
donatarias_21440,1317,FUNDACION MAS QUE UN NOMBRE,FUNDACION MAS QUE UN NOMBRE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1317,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65261701-8,ENT-RUT-65261701-8,
donatarias_21440,1316,FUNDACION LOICA POR LA EDUCACION CONSERVACION ARTE Y TERRITORIO,FUNDACION LOICA POR LA EDUCACION CONSERVACION ARTE Y TERRITORIO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1316,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65253887-8,ENT-RUT-65253887-8,
donatarias_21440,1315,FUNDACION KIÑEWEN ELEMENTAL NATURA,FUNDACION KINEWEN ELEMENTAL NATURA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1315,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65178618-5,ENT-RUT-65178618-5,
donatarias_21440,1314,FUNDACION ESCUELA PARA NIÑAS DE MONTAÑA REBELDE,FUNDACION ESCUELA PARA NINAS DE MONTANA REBELDE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1314,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65271991-0,ENT-RUT-65271991-0,
donatarias_21440,1313,FUNDACION EFECTO EDUCATIVO,FUNDACION EFECTO EDUCATIVO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1313,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65169803-0,ENT-RUT-65169803-0,
donatarias_21440,1312,FUNDACIÓN CUIDANDO A LOS QUE CUIDAN,FUNDACION CUIDANDO A LOS QUE CUIDAN,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1312,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65255113-0,ENT-RUT-65255113-0,
donatarias_21440,1311,FUNDACION CORRALCO MALALCAHUELLO,FUNDACION CORRALCO MALALCAHUELLO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1311,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65162886-5,ENT-RUT-65162886-5,
donatarias_21440,1310,FUNDACIÓN CORAZONES QUE ACOMPAÑAN,FUNDACION CORAZONES QUE ACOMPANAN,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1310,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65259087-K,ENT-RUT-65259087-K,
donatarias_21440,1309,FUNDACIÓN COMUNIDAD TERAPÉUTICA NIÁGARA,FUNDACION COMUNIDAD TERAPEUTICA NIAGARA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1309,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65236453-5,ENT-RUT-65236453-5,
donatarias_21440,1308,FUNDACIÓN CAMINEMOS JUNTOS POR UNA EDUCACIÓN,FUNDACION CAMINEMOS JUNTOS POR UNA EDUCACION,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1308,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65239434-5,ENT-RUT-65239434-5,
donatarias_21440,1307,FUNDACIÓN BIENESTAR ANIMAL,FUNDACION BIENESTAR ANIMAL,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1307,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65207117-1,ENT-RUT-65207117-1,
donatarias_21440,1306,FUNDACION BATALLAS QUE FORTALECEN,FUNDACION BATALLAS QUE FORTALECEN,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1306,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65249058-1,ENT-RUT-65249058-1,
donatarias_21440,1305,FUNDACIÓN ACCIÓN SOCIAL PARA LA EDUCACIÓN DE LA PAZ Y LOS DERECHOS HUMANOS,FUNDACION ACCION SOCIAL PARA LA EDUCACION DE LA PAZ Y LOS DERECHOS HUMANOS,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1305,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65215761-0,ENT-RUT-65215761-0,
donatarias_21440,1304,FUNDACION 365 TEJIDOS,FUNDACION 365 TEJIDOS,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1304,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65258632-5,ENT-RUT-65258632-5,
donatarias_21440,1303,FUND DE BENEFICENCIA AUXILIO MALTES,FUND DE BENEFICENCIA AUXILIO MALTES,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1303,RUT_DIRECT,STRONG_LEGAL_REGISTRY,73291400-5,ENT-RUT-73291400-5,
donatarias_21440,1302,FUND CIENCIA PARA LA VIDA,FUND CIENCIA PARA LA VIDA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1302,RUT_DIRECT,STRONG_LEGAL_REGISTRY,73124100-7,ENT-RUT-73124100-7,
donatarias_21440,1301,DALEPROFE CORPORACIÓN,DALEPROFE CORPORACION,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1301,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65273034-5,ENT-RUT-65273034-5,
donatarias_21440,1300,CORPORACION PARQUE PUNTA DE LOBOS,CORPORACION PARQUE PUNTA DE LOBOS,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1300,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1299,CORPORACION GAUDI DE TRIANA,CORPORACION GAUDI DE TRIANA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1299,RUT_DIRECT,STRONG_LEGAL_REGISTRY,73807600-1,ENT-RUT-73807600-1,
donatarias_21440,1298,CORPORACION DE APOYO A LA NINEZ Y JUVENTUD EN RIESGO SO,CORPORACION DE APOYO A LA NINEZ Y JUVENTUD EN RIESGO SO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1298,RUT_DIRECT,STRONG_LEGAL_REGISTRY,71992600-2,ENT-RUT-71992600-2,
donatarias_21440,1297,CORPORACION CULTURAL MUNICIPAL DE SAN JAVIER DE LONCOMILLA,CORPORACION CULTURAL MUNICIPAL DE SAN JAVIER DE LONCOMILLA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1297,RUT_DIRECT,STRONG_LEGAL_REGISTRY,53322528-4,ENT-RUT-53322528-4,
donatarias_21440,1296,CORP DE DESARROLLO DE LA PROVINCIA DE EL LOA,CORP DE DESARROLLO DE LA PROVINCIA DE EL LOA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1296,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65127080-4,ENT-RUT-65127080-4,
donatarias_21440,1295,AYUDA Y RESCATE BULL CHILE,AYUDA Y RESCATE BULL CHILE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1295,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65253993-9,ENT-RUT-65253993-9,
donatarias_21440,1294,FUNDACION RENACER JUNTOS,FUNDACION RENACER JUNTOS,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1294,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65160577-6,ENT-RUT-65160577-6,
donatarias_21440,1293,FUNDACIÓN PARA EL BIENESTAR ANIMAL EDUCACIÓN DE LA TENENCIA RESPONSABLE DE MASCOTAS Y ANIMALES DE CO,FUNDACION PARA EL BIENESTAR ANIMAL EDUCACION DE LA TENENCIA RESPONSABLE DE MASCOTAS Y ANIMALES DE CO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1293,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65250424-8,ENT-RUT-65250424-8,
donatarias_21440,1292,FUNDACION KAWOQ,FUNDACION KAWOQ,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1292,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1291,FUNDACIÓN IMPULSANDO EL DEPORTE,FUNDACION IMPULSANDO EL DEPORTE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1291,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65206745-K,ENT-RUT-65206745-K,
donatarias_21440,1290,FUNDACION DE LA OBESIDAD Y DEPRESION E DIVERSIDAD GUATITA DELANTAL NACIONAL,FUNDACION DE LA OBESIDAD Y DEPRESION E DIVERSIDAD GUATITA DELANTAL NACIONAL,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1290,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1289,"FUNDACION DE BENEFICENCIA PUBLICA CULTURAL, EDUCACIONAL Y CIENTIFICA ARTEMISA",FUNDACION DE BENEFICENCIA PUBLICA CULTURAL EDUCACIONAL Y CIENTIFICA ARTEMISA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1289,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65217172-9,ENT-RUT-65217172-9,
donatarias_21440,1288,FUND MAR DE CHILE,FUND MAR DE CHILE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1288,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1287,FUND JUAN PABLO II,FUND JUAN PABLO II,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1287,RUT_DIRECT,STRONG_LEGAL_REGISTRY,71450400-2,ENT-RUT-71450400-2,
donatarias_21440,1286,CORPORACION DE DEPORTES DE LA MUNICIPALIDAD DE CURICO,CORPORACION DE DEPORTES DE LA MUNICIPALIDAD DE CURICO,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1286,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65057429-K,ENT-RUT-65057429-K,
donatarias_21440,1285,ASOCIACION SENDAS,ASOCIACION SENDAS,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1285,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1284,FUNDACION NUFFIELD CHILE,FUNDACION NUFFIELD CHILE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1284,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1283,MATER FILIUS PUERTO VARAS,MATER FILIUS PUERTO VARAS,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1283,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65261963-0,ENT-RUT-65261963-0,
donatarias_21440,1282,FUNDACIÓN PATAGONIA SOSTENIBLE,FUNDACION PATAGONIA SOSTENIBLE,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1282,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65203776-3,ENT-RUT-65203776-3,
donatarias_21440,1281,FUNDACION PASITOS BRILLANTES,FUNDACION PASITOS BRILLANTES,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1281,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65273462-6,ENT-RUT-65273462-6,
donatarias_21440,1280,FUNDACION PARQUES DE LA PATAGONIA,FUNDACION PARQUES DE LA PATAGONIA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1280,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65207923-7,ENT-RUT-65207923-7,
donatarias_21440,1279,FUNDACIÓN MUJERES EN REHABILITACIÓN DE CÁNCER CORREDORA POR LA VIDA,FUNDACION MUJERES EN REHABILITACION DE CANCER CORREDORA POR LA VIDA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1279,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65242805-3,ENT-RUT-65242805-3,
donatarias_21440,1278,FUNDACION ECO AMERICA,FUNDACION ECO AMERICA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1278,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65208481-8,ENT-RUT-65208481-8,
donatarias_21440,1277,"FUNDACION DE DESARROLLO, ACCION Y SUSTENTABILIDAD",FUNDACION DE DESARROLLO ACCION Y SUSTENTABILIDAD,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1277,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1276,FUNDACIÓN CENTRO DE ESTUDIOS ABDOÓN CIFUENTES,FUNDACION CENTRO DE ESTUDIOS ABDOON CIFUENTES,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1276,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1275,FUNDACIÓN CENTRO CULTURAL Y ARTÍSTICO DE LA VERACRUZ,FUNDACION CENTRO CULTURAL Y ARTISTICO DE LA VERACRUZ,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1275,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65261799-9,ENT-RUT-65261799-9,
donatarias_21440,1274,FUNDACION CASA DE LA MISERICORDIA,FUNDACION CASA DE LA MISERICORDIA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1274,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65187667-2,ENT-RUT-65187667-2,
donatarias_21440,1273,FUNDACION ARCANGELES,FUNDACION ARCANGELES,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1273,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65181086-8,ENT-RUT-65181086-8,
donatarias_21440,1272,FEDERACION DEPORTIVA NACIONAL DE TRIATLON DE CHILE FDN,FEDERACION DEPORTIVA NACIONAL DE TRIATLON DE CHILE FDN,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1272,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1271,CORPORACION DE DEPORTES DE LA MUNICIPALIDAD DE  INDEPENDENCIA,CORPORACION DE DEPORTES DE LA MUNICIPALIDAD DE INDEPENDENCIA,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1271,RUT_DIRECT,STRONG_LEGAL_REGISTRY,,,"ReadTimeout: HTTPSConnectionPool(host='donacionesley21440.gob.cl', port=443): Read timed out. (read timeout=3)"
donatarias_21440,1270,INSTITUTO NACIONAL DE LITIO Y SALARES,INSTITUTO NACIONAL DE LITIO Y SALARES,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1270,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65246292-8,ENT-RUT-65246292-8,
donatarias_21440,1269,GOLDEN COMMUNITY FOUNDATION FUNDACION COMUNITARIA GOLDEN,GOLDEN COMMUNITY FOUNDATION FUNDACION COMUNITARIA GOLDEN,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1269,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65263054-5,ENT-RUT-65263054-5,
donatarias_21440,1268,"FUNDACIÓN WELFTUN, APRENDIZAJE SIN FRONTERAS",FUNDACION WELFTUN APRENDIZAJE SIN FRONTERAS,Inscrita,https://donacionesley21440.gob.cl/registro-publico?n=1268,RUT_DIRECT,STRONG_LEGAL_REGISTRY,65271305-K,ENT-RUT-65271305-K,
