entity_id,rut,legal_name,universe_status,universe_confidence,direct_confirmed,direct_sources,activity_codes,activity_names,max_activity_signal,activity_universe_scope,fatf_r8_screening,start_date,end_date,current_tax_status,first_company_year,last_company_year,company_year_count,years_present,company_presence_2020,company_presence_2021,company_presence_2022,company_presence_2023,company_presence_2024,latest_sales_band,latest_workers,latest_region,latest_main_activity,latest_taxpayer_type,latest_taxpayer_subtype,evidence_sources,evidence_source_count,generated_at,commercial_form_signal,osfl_name_evidence,universe_in_scope,universe_status_refined,exclusion_reason
ENT-RUT-78304101-4,78304101-4,27 PRODUCCIONES SPA,CANDIDATE_REVIEW_SII_ACTIVITY,REVIEW,False,,941200,ACTIVIDADES DE ASOCIACIONES PROFESIONALES,MEDIUM,OSFL_REVIEW,NOT_DETERMINED,,,NO_TERMINATION_REPORTED,,,,,,,,,,,,,,,,sii_activities_current|sii_names_current,2,2026-08-13T21:26:53.728733+00:00,True,False,False,REVIEW_OUTSIDE_CORE,COMMERCIAL_LEGAL_FORM_WITH_MEDIUM_ACTIVITY
ENT-RUT-76896845-4,76896845-4,2AP SERVICIOS LEGALES Y GESTION MINERA SPA,CANDIDATE_REVIEW_SII_ACTIVITY,REVIEW,False,,941100|941200,ACTIVIDADES DE ASOCIACIONES EMPRESARIALES Y DE EMPLEADORES|ACTIVIDADES DE ASOCIACIONES PROFESIONALES,MEDIUM,OSFL_REVIEW,NOT_DETERMINED,,,NO_TERMINATION_REPORTED,2020,2024,5.0,2020|2021|2022|2023|2024,True,True,True,True,True,5,,XIII REGION METROPOLITANA,,,,sii_activities_current|sii_company_year|sii_names_current,3,2026-08-13T21:26:53.728733+00:00,True,False,False,REVIEW_OUTSIDE_CORE,COMMERCIAL_LEGAL_FORM_WITH_MEDIUM_ACTIVITY
ENT-RUT-76708366-1,76708366-1,3 ESTUDIO ARQUITECTURA SPA,CANDIDATE_REVIEW_SII_ACTIVITY,REVIEW,False,,941200,ACTIVIDADES DE ASOCIACIONES PROFESIONALES,MEDIUM,OSFL_REVIEW,NOT_DETERMINED,,,NO_TERMINATION_REPORTED,2020,2022,3.0,2020|2021|2022,True,True,True,False,False,2,,XIII REGION METROPOLITANA,,,,sii_activities_current|sii_company_year|sii_names_current,3,2026-08-13T21:26:53.728733+00:00,True,False,False,REVIEW_OUTSIDE_CORE,COMMERCIAL_LEGAL_FORM_WITH_MEDIUM_ACTIVITY
ENT-RUT-76092343-5,76092343-5,303 EDITORIALES S.A.,CANDIDATE_REVIEW_SII_ACTIVITY,REVIEW,False,,941200,ACTIVIDADES DE ASOCIACIONES PROFESIONALES,MEDIUM,OSFL_REVIEW,NOT_DETERMINED,,,NO_TERMINATION_REPORTED,2020,2024,5.0,2020|2021|2022|2023|2024,True,True,True,True,True,7,,XIII REGION METROPOLITANA,,,,sii_activities_current|sii_company_year|sii_names_current,3,2026-08-13T21:26:53.728733+00:00,True,False,False,REVIEW_OUTSIDE_CORE,COMMERCIAL_LEGAL_FORM_WITH_MEDIUM_ACTIVITY
ENT-RUT-76854593-6,76854593-6,30:2 EMERGENCIA Y RESCATE CHILE SPA,CANDIDATE_REVIEW_SII_ACTIVITY,REVIEW,False,,941200,ACTIVIDADES DE ASOCIACIONES PROFESIONALES,MEDIUM,OSFL_REVIEW,NOT_DETERMINED,,,NO_TERMINATION_REPORTED,2020,2024,5.0,2020|2021|2022|2023|2024,True,True,True,True,True,2,,XIII REGION METROPOLITANA,,,,sii_activities_current|sii_company_year|sii_names_current,3,2026-08-13T21:26:53.728733+00:00,True,False,False,REVIEW_OUTSIDE_CORE,COMMERCIAL_LEGAL_FORM_WITH_MEDIUM_ACTIVITY
ENT-RUT-76121929-4,76121929-4,3A SERVICIOS DE ARQUITECTURA PROPIEDADES E INVERSIONES LIMITADA,CANDIDATE_REVIEW_SII_ACTIVITY,REVIEW,False,,941200,ACTIVIDADES DE ASOCIACIONES PROFESIONALES,MEDIUM,OSFL_REVIEW,NOT_DETERMINED,,,NO_TERMINATION_REPORTED,2020,2024,5.0,2020|2021|2022|2023|2024,True,True,True,True,True,3,,V REGION VALPARAISO,,,,sii_activities_current|sii_company_year|sii_names_current,3,2026-08-13T21:26:53.728733+00:00,True,False,False,REVIEW_OUTSIDE_CORE,COMMERCIAL_LEGAL_FORM_WITH_MEDIUM_ACTIVITY
ENT-RUT-76643343-K,76643343-K,3LOBOS SPA,CANDIDATE_REVIEW_SII_ACTIVITY,REVIEW,False,,941200,ACTIVIDADES DE ASOCIACIONES PROFESIONALES,MEDIUM,OSFL_REVIEW,NOT_DETERMINED,,,NO_TERMINATION_REPORTED,,,,,,,,,,,,,,,,sii_activities_current|sii_names_current,2,2026-08-13T21:26:53.728733+00:00,True,False,False,REVIEW_OUTSIDE_CORE,COMMERCIAL_LEGAL_FORM_WITH_MEDIUM_ACTIVITY
ENT-RUT-78282237-3,78282237-3,3MAR SPA,CANDIDATE_REVIEW_SII_ACTIVITY,REVIEW,False,,941200,ACTIVIDADES DE ASOCIACIONES PROFESIONALES,MEDIUM,OSFL_REVIEW,NOT_DETERMINED,,,NO_TERMINATION_REPORTED,,,,,,,,,,,,,,,,sii_activities_current|sii_names_current,2,2026-08-13T21:26:53.728733+00:00,True,False,False,REVIEW_OUTSIDE_CORE,COMMERCIAL_LEGAL_FORM_WITH_MEDIUM_ACTIVITY
ENT-RUT-76914105-7,76914105-7,3RJARDINES SERVICIOS PROFESIONALES SPA,CANDIDATE_REVIEW_SII_ACTIVITY,REVIEW,False,,941200,ACTIVIDADES DE ASOCIACIONES PROFESIONALES,MEDIUM,OSFL_REVIEW,NOT_DETERMINED,,,NO_TERMINATION_REPORTED,2020,2024,4.0,2020|2021|2022|2024,True,True,True,False,True,1,,VIII REGION DEL BIO BIO,,,,sii_activities_current|sii_company_year|sii_names_current,3,2026-08-13T21:26:53.728733+00:00,True,False,False,REVIEW_OUTSIDE_CORE,COMMERCIAL_LEGAL_FORM_WITH_MEDIUM_ACTIVITY
ENT-RUT-77812469-6,77812469-6,4DHIRE SPA,CANDIDATE_REVIEW_SII_ACTIVITY,REVIEW,False,,941100,ACTIVIDADES DE ASOCIACIONES EMPRESARIALES Y DE EMPLEADORES,MEDIUM,OSFL_REVIEW,NOT_DETERMINED,,,NO_TERMINATION_REPORTED,,,,,,,,,,,,,,,,sii_activities_current|sii_names_current,2,2026-08-13T21:26:53.728733+00:00,True,False,False,REVIEW_OUTSIDE_CORE,COMMERCIAL_LEGAL_FORM_WITH_MEDIUM_ACTIVITY
